S.No,Parliament Constituency,Constituency Name,State,Winning Candidate,Total Votes,Margin,Constituency ID,Party ID
120,SAMBALPUR(3),SAMBALPUR,Odisha,DHARMENDRA PRADHAN,592162,119836,S183,369
5,SAMBHAL(8),SAMBHAL,Uttar Pradesh,ZIA UR REHMAN,571161,121494,S248,1680
2,SANGLI(44),SANGLI,Maharashtra,VISHAL (DADA) PRAKASHBAPU PATIL,571666,100053,S1344,743
3,SANGRUR(12),SANGRUR,Punjab,GURMEET SINGH MEET HAYER,364085,172560,S1912,1
27,SANTKABIRNAGAR(62),SANTKABIRNAGAR,Uttar Pradesh,LAXMIKANT PAPPU NISHAD,498695,92170,S2462,1680
22,SARAN(20),SARAN,Bihar,RAJIV PRATAP RUDY,471752,13661,S0420,369
6,SASARAM(34),SASARAM,Bihar,MANOJ KUMAR,513004,19157,S0434,742
116,SATARA(45),SATARA,Maharashtra,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,571134,32771,S1345,369
88,SATNA(9),SATNA,Madhya Pradesh,GANESH SINGH,459728,84949,S129,369
227,SECUNDERABAD(8),SECUNDERABAD,Telangana,G. KISHAN REDDY,473012,49944,S298,369
91,SHAHDOL(12),SHAHDOL,Madhya Pradesh,SMT. HIMADRI SINGH,711143,397340,S1212,369
166,SHAHJAHANPUR(27),SHAHJAHANPUR,Uttar Pradesh,ARUN KUMAR SAGAR,592718,55379,S2427,369
2,SHEOHAR(4),SHEOHAR,Bihar,LOVELY ANAND,476612,29143,S044,805
1,SHILLONG(1),SHILLONG,Meghalaya,DR. RICKY ANDREW J. SYNGKON,571078,371910,S151,3388
61,SHIMLA(4),SHIMLA,Himachal Pradesh,Suresh Kumar Kashyap,519748,91451,S084,369
68,SHIMOGA(14),SHIMOGA,Karnataka,B.Y.RAGHAVENDRA,778721,243715,S1014,369
8,SHIRDI(38),SHIRDI,Maharashtra,BHAUSAHEB RAJARAM WAKCHAURE,476900,50529,S1338,3369
5,SHIRUR(36),SHIRUR,Maharashtra,DR. AMOL RAMSING KOLHE,698692,140951,S1336,3620
25,SHRAWASTI(58),SHRAWASTI,Uttar Pradesh,RAM SHIROMANI VERMA,511055,76673,S2458,1680
90,SIDHI(11),SIDHI,Madhya Pradesh,DR. RAJESH MISHRA,583559,206416,S1211,369
2,SIKAR(5),SIKAR,Rajasthan,AMRARAM,659300,72896,S205,547
1,SIKKIM(1),SIKKIM,Sikkim,INDRA HANG SUBBA,164396,80830,S211,1658
10,SILCHAR(8),SILCHAR,Assam,PARIMAL SUKLABAIDYA,652405,264311,S038,369
3,SINGHBHUM(10),SINGHBHUM,Jharkhand,JOBA MAJHI,520164,168402,S2710,852
10,SIRSA(3),SIRSA,Haryana,SELJA,733823,268497,S073,742
3,SITAMARHI(5),SITAMARHI,Bihar,DEVESH CHANDRA THAKUR,515719,51356,S045,805
80,SITAPUR(30),SITAPUR,Uttar Pradesh,RAKESH RATHOR,531138,89641,S2430,742
75,SIVAGANGA(31),SIVAGANGA,Tamil Nadu,KARTI P CHIDAMBARAM,427677,205664,S2231,742
8,SIWAN(18),SIWAN,Bihar,VIJAYLAKSHMI DEVI,386508,92857,S0418,805
